Gender,Name,Total,
Girl,Ellen,278869,
Girl,Leslie,278719,
Girl,Marjorie,276604,
Girl,Vanessa,276265,
Boy,Allen,276160,
Girl,Valerie,274440,
Girl,Carrie,274292,
Girl,Ava,273829,
Girl,Eva,272371,
Boy,Frederick,270555,
Boy,Curtis,270082,
Girl,Edith,269856,
Girl,Connie,269618,
Boy,Lucas,269319,
Girl,Gladys,268394,
Girl,Cindy,266689,
Girl,Tracy,265069,
Girl,Elaine,264934,
Girl,Hazel,263526,
Girl,Monica,263152,
Boy,Norman,261995,
Girl,Esther,261417,
Girl,Melanie,260420,
Girl,Brianna,260152,
Boy,Antonio,259281,
Girl,Jasmine,258655,
Boy,Chad,257900,
Girl,Katie,257392,
Boy,Tony,256800,
Boy,Rodney,255138,
Boy,Glenn,255115,
Boy,Marvin,255029,
Girl,April,254953,
Boy,Derek,254028,
Girl,Erica,253323,
Boy,Ian,251425,
Boy,Adrian,249881,
Boy,Theodore,249785,
Girl,Alexandra,249693,
Boy,Marcus,247488,
Boy,Alfred,246745,
Boy,Jackson,246717,
Boy,Edwin,246628,
Boy,Melvin,246526,
Girl,Sylvia,246183,
Girl,Sheila,246132,
Girl,Alicia,245117,
Boy,Steve,243444,
Girl,Leah,241758,
Boy,Hunter,241453,
Boy,Lee,238799,
Boy,Jeffery,237685,
Girl,Kristen,237638,
Girl,Caroline,236856,
Girl,Mia,235403,
Girl,Sherry,235283,
Boy,Angel,235027,
Boy,Jesus,233675,
Boy,Dustin,232187,
Boy,Herbert,231146,
Girl,Pauline,230062,
Girl,Michele,229908,
Girl,Veronica,228778,
Boy,Ricky,227831,
Boy,Liam,227655,
Boy,Wesley,227347,
Girl,Thelma,226849,
Girl,Suzanne,226804,
Girl,Lucille,225466,
Girl,Morgan,222799,
Girl,Joanne,222697,
Boy,Troy,222076,
Girl,Chloe,221173,
Girl,Anita,221044,
Boy,Connor,219605,
Boy,Isaiah,218039,
Boy,Julian,217984,
Boy,Jared,217187,
Girl,Holly,216906,
Girl,Lorraine,216552,
Boy,Jayden,216013,
Girl,Jill,214016,
Girl,Geraldine,213493,
Girl,Rhonda,212978,
Girl,Dolores,212394,
Boy,Eddie,212212,
Girl,Vivian,211914,
Girl,Darlene,210920,
Boy,Aiden,210595,
Boy,Calvin,210202,
Boy,Shane,209840,
Boy,Leo,209835,
Girl,Juanita,209425,
Girl,Sally,208588,
Girl,Lucy,208533,
Girl,Bertha,208472,
Girl,Gail,207919,
Boy,Oscar,206624,
Boy,Mike,205805,
Boy,Randall,204934,
Boy,Ray,204605,
Boy,Bernard,202759,
Boy,Jeremiah,202335,
Girl,Dana,201778,
Girl,Brooke,201158,
Boy,Leroy,200472,
Girl,Amelia,200459,
Boy,Corey,197691,
Girl,June,197485,
Boy,Owen,196913,
Girl,Claire,196008,
Boy,Jay,195482,
Girl,Kristin,193868,
Girl,Beatrice,193289,
Boy,Clifford,193284,
Girl,Marion,192656,
Girl,Renee,192626,
Girl,Tara,192581,
Girl,Madeline,192089,
Boy,Barry,191196,
Girl,Debbie,191140,
Girl,Eileen,191010,
Boy,Manuel,188491,
Girl,Ida,187424,
Girl,Lynn,186861,
Boy,Blake,186538,
Boy,Dean,185933,
Girl,Kim,185421,
Girl,Bernice,184172,
Boy,Ronnie,184017,
Boy,Warren,182931,
Boy,Gavin,182621,
Boy,Miguel,182423,
Girl,Cassandra,182385,
Girl,Regina,181248,
Girl,Elsie,181180,
Girl,Jo,179479,
Boy,Tommy,178878,
Boy,Trevor,178869,
Girl,Stella,177832,
Girl,Gertrude,177762,
Girl,Loretta,177476,
Girl,Rosa,176857,
Girl,Sydney,175709,
Boy,Oliver,175652,
Girl,Chelsea,175569,
Girl,Roberta,175400,
Girl,Savannah,175341,
Girl,Lindsey,174517,
Boy,Brett,174463,
Girl,Colleen,174269,
Boy,Gordon,174239,
Boy,Mitchell,174201,
Boy,Charlie,173668,
Boy,Dominic,173576,
Girl,Jessie,172923,
Girl,Annette,172768,
Girl,Molly,172555,
Girl,Cathy,172127,
Girl,Stacy,171498,
Girl,Laurie,171426,
Girl,Lydia,171350,
Boy,Jon,170459,
Boy,Chase,170437,
Boy,Leon,170355,
Girl,Bessie,170345,
Boy,Seth,170132,
Girl,Kaitlyn,170008,
Boy,Don,168373,
Girl,Naomi,167842,
Girl,Jeanette,167796,
Girl,Hailey,166397,
Girl,Jeanne,164331,
Boy,Darrell,164242,
Boy,Lloyd,164089,
Boy,Carter,163758,
Boy,Jerome,162966,
Boy,Erik,162301,
Boy,Alvin,162184,
Girl,Beth,162170,
Girl,Jenna,162031,
Girl,Yvonne,161975,
Girl,Rosemary,161743,
Boy,Landon,161513,
Boy,Bill,161119,
Girl,Haley,160950,
Girl,Alma,160889,
Boy,Wyatt,160882,
Boy,Micheal,160821,
Girl,Agnes,159642,
Girl,Gina,159142,
Girl,Minnie,159031,
Boy,Sebastian,159006,
Boy,Devin,158785,
Girl,Georgia,158413,
Girl,Stacey,158129,
Girl,Pearl,158052,
Girl,Vicki,158035,
Girl,Joann,157448,
Boy,Max,157249,
Girl,Kelsey,156489,
Girl,Lillie,156312,
Boy,Levi,155345,
Girl,Lily,154954,
Boy,Floyd,154927,
Girl,Carla,154549,
Boy,Edgar,154500,
Boy,Lewis,154072,
Boy,Jim,153801,
Girl,Nora,153639,
Girl,Maureen,152294,
Boy,Brent,152033,
Girl,Heidi,151914,
Boy,Derrick,151297,
Boy,Mario,151205,
Girl,Nellie,150289,
Girl,Lindsay,150081,
Girl,Kristina,149828,
Girl,Shelby,149560,
Girl,Terri,148793,
Girl,Destiny,148447,
Boy,Vernon,148317,
Girl,Paige,146805,
Boy,Chris,146802,
Boy,Marc,146384,
Girl,Violet,146247,
Girl,Willie,146229,
Girl,Arlene,145657,
Girl,Sue,145011,
Boy,Cole,144997,
Girl,Daisy,144704,
Girl,Sabrina,144528,
Boy,Ricardo,144483,
Girl,Carmen,144016,
Boy,Clyde,143298,
Girl,Marian,142381,
Girl,Vera,142252,
Girl,Constance,141989,
Girl,Deanna,141491,
Girl,Wilma,140823,
Boy,Colin,140689,
Girl,Melinda,140656,
Boy,Tom,140520,
Girl,Lena,140358,
Girl,Tamara,140156,
Girl,Joy,139647,
Girl,Faith,139589,
Boy,Clayton,139536,
Boy,Maurice,139157,
Girl,Gabrielle,139088,
Boy,Cory,138977,
Boy,Franklin,138603,
Boy,Ivan,138354,
Boy,Xavier,138213,
Girl,Charlene,138170,
Girl,Katelyn,138070,
Boy,Francisco,138061,
Girl,Sofia,137267,
Boy,Garrett,137167,
Girl,Myrtle,137014,
Girl,Cora,136752,
Girl,Jordan,136682,
Boy,Alejandro,136553,
Boy,Herman,136519,
Girl,Mabel,136118,
Boy,Jorge,135370,
Girl,Marcia,135064,
Boy,Grant,134664,
Girl,Marlene,134648,
Girl,Erika,133683,
Girl,Zoe,133298,
Girl,Mackenzie,132869,
Boy,Glen,132569,
Girl,Viola,132029,
Boy,Gilbert,131738,
Boy,Jake,131649,
Girl,Mattie,131570,
Girl,Nina,131558,
Girl,Claudia,131194,
Boy,Lester,130881,
Girl,Kaylee,130325,
Girl,Avery,129423,
Boy,Elmer,129113,
Girl,Tanya,129077,
Boy,Andre,128957,
Girl,Alexa,128949,
Girl,Jennie,128211,
Girl,Autumn,127839,
Girl,Sadie,127798,
Boy,Gene,127453,
Boy,Sam,127192,
Girl,Marissa,125981,
Boy,Colton,125903,
Boy,Spencer,125170,
Boy,Eli,125140,
Girl,Alison,125010,
Girl,Caitlin,124117,
Boy,Harvey,123737,
Girl,Tonya,123644,
Girl,Priscilla,123386,
Girl,Addison,123315,
Girl,Isabel,122629,
Girl,Angelina,122564,
Boy,Brayden,122535,
Girl,Sophie,122211,
Boy,Chester,121517,
Boy,Jeff,120870,
Girl,Gwendolyn,120539,
Boy,Casey,119894,
Boy,Bryce,119712,
Girl,Patsy,119666,
Boy,Tristan,119490,
Girl,Gabriella,119051,
Boy,Taylor,118779,
Boy,Leslie,118718,
Girl,Maggie,118580,
Girl,Miranda,118527,
Boy,Darren,118362,
Girl,Delores,118306,
Boy,Milton,118010,
Boy,Duane,117583,
Boy,Preston,116598,
Girl,Kylie,115870,
Boy,Reginald,115163,
Girl,Genevieve,115071,
Boy,Ruben,114969,
Boy,Aidan,114744,
Girl,Brandy,114656,
Girl,Yolanda,114610,
Girl,Maxine,114196,
Girl,Aubrey,114080,
Boy,Jessie,113014,
Boy,Roberto,112933,
Girl,Carole,112675,
Boy,Jimmie,112617,
Girl,Joanna,112103,
Boy,Neil,111911,
Girl,Miriam,111833,
Girl,Natasha,111593,
Boy,Carson,111469,
Girl,Katrina,111282,
Girl,Leona,111269,
Girl,Glenda,111185,
Boy,Lance,111081,
Girl,Mae,111025,
Girl,Mariah,110742,
Girl,Vickie,110660,
Girl,Brandi,110230,
Girl,Whitney,110032,
Girl,Jocelyn,109954,
Boy,Josiah,109540,
Boy,Everett,109014,
Girl,Riley,108774,
Boy,Diego,108041,
Boy,Parker,107941,
Boy,Cecil,107605,
Girl,Kara,107325,
Boy,Dan,106839,
Girl,Meghan,106791,
Girl,Dora,106380,
Girl,Brooklyn,106277,
Girl,Margie,106061,
Boy,Allan,106003,
Girl,Bethany,105728,
Boy,Eduardo,105725,
Girl,Ana,105582,
Boy,Hector,105576,
Boy,Arnold,105349,
Girl,Marsha,104971,
Boy,Karl,104565,
Boy,Nolan,104499,
Girl,Makayla,104069,
Boy,Hayden,103343,
Girl,Toni,103176,
Boy,Riley,102818,
Girl,Christy,102816,
Boy,Clinton,102814,
Girl,Billie,102479,
Boy,Johnnie,102299,
Girl,Dianne,102234,
Girl,Ariana,102109,
Girl,Kendra,101984,
Girl,Alexandria,101942,
Girl,Sierra,101929,
Girl,Bailey,101817,
Boy,Javier,100730,
Girl,Penny,100671,
Girl,Maya,100659,
Girl,Melody,100475,
Girl,Angel,100261,
Boy,Roland,100063,
Boy,Omar,100020,
Girl,Hattie,99896,
Boy,Johnathan,99649,
Girl,Kay,99375,
Girl,Cecilia,99183,
Boy,Fernando,99115,
Girl,Terry,98826,
Boy,Darryl,98420,
Boy,Brendan,97951,
Girl,Felicia,97524,
Boy,Maxwell,97478,
Girl,Jenny,97194,
Boy,Micah,97194,
Girl,Isabelle,96894,
Girl,Ada,96829,
Girl,Briana,95885,
Boy,Tanner,95697,
Girl,Marguerite,94926,
Boy,Jamie,94887,
Boy,Lonnie,94795,
Girl,Angelica,94247,
Boy,Marshall,94138,
Girl,Bridget,94104,
Girl,Tracey,93256,
Boy,Bob,93084,
Boy,Abraham,93050,
Girl,Arianna,92862,
Girl,Madelyn,92656,
Girl,Adriana,92615,
Boy,Andy,92381,
Boy,Brady,92316,
Boy,Guy,92254,
Boy,Nicolas,92222,
Girl,Jackie,92216,
Girl,Candace,91780,
Girl,Hope,91732,
Girl,Karla,91688,
Boy,Claude,91595,
Boy,Pedro,91246,
Girl,Jillian,90999,
Girl,Brittney,90902,
Girl,Rachael,90117,
Boy,Damian,89886,
Girl,Lola,89480,
Boy,Ross,89424,
Girl,Kate,89413,
Girl,Layla,89391,
Girl,Jade,89382,
Girl,Harriet,89325,
Girl,Bobbie,89318,
Girl,Misty,89311,
Boy,Cooper,89027,
Boy,Kurt,88970,
Girl,Kristine,88757,
Girl,Aaliyah,88543,
Girl,Geneva,88234,
Girl,Desiree,88026,
Boy,Dakota,87942,
Girl,Shelly,87866,
Girl,Becky,87810,
Girl,Jacquelyn,87663,
Boy,Kelly,87633,
Girl,Blanche,87556,
Girl,Velma,87147,
Girl,Krystal,87003,
Boy,Raul,86851,
Boy,Brad,86052,
Boy,Ben,86040,
Girl,Sherri,86032,
Boy,Andres,85981,
Girl,Susie,85484,
Girl,Fannie,85120,
Boy,Sidney,85101,
Girl,Zoey,85044,
Boy,Miles,84949,
Girl,Breanna,84827,
Girl,Monique,84784,
Boy,Hugh,84741,
Girl,Lula,84501,
Girl,Iris,84446,
Boy,Mathew,84012,
Boy,Byron,83912,
Girl,Jodi,83676,
Girl,Casey,83604,
Boy,Tim,83483,
Boy,Elias,83144,
Boy,Rick,82883,
Boy,Wallace,82688,
Girl,Harper,82459,
Girl,Summer,82316,
Boy,Grayson,82241,
Boy,Dalton,82235,
Girl,Lynda,81995,
Boy,Harrison,81847,
Girl,Krista,81838,
Girl,Hilda,81765,
Boy,Tyrone,81702,
Boy,Jaxon,81613,
Boy,Rafael,81463,
Girl,Gabriela,81173,
Girl,Nevaeh,80996,
Girl,Sheryl,80956,
Boy,Drew,80854,
Girl,Kristi,80833,
Girl,Rosie,80792,
Girl,Elena,80752,
Boy,Angelo,80565,
Girl,Eunice,80318,
Girl,Shelley,80212,
Boy,Nelson,80165,
Girl,Antoinette,79851,
Boy,Dwayne,79640,
Boy,Dwight,79521,
Girl,Kelli,79478,
Boy,Julius,79386,
Boy,Jackie,79361,
Girl,Trinity,79145,
Boy,Shaun,79139,
Girl,Meredith,78979,
Boy,Kaleb,78960,
Boy,Sergio,78845,
Boy,Collin,78801,
Girl,Rebekah,78746,
Boy,Greg,78646,
Boy,Emmanuel,78552,
Girl,Mamie,77850,
Boy,Willard,77645,
Boy,Ramon,77334,
Boy,Perry,77047,
Girl,Bianca,77020,
Girl,Kristy,76858,
Girl,Candice,76197,
Boy,Jaden,76114,
Girl,Belinda,76023,
Girl,Gracie,75935,
Boy,Devon,75887,
Boy,Ted,75816,
Boy,Terrence,75576,
Girl,Janie,75281,
Boy,Stuart,75144,
Boy,Armando,74874,
Girl,Rosalie,74395,
Boy,Marco,74326,
Boy,Cesar,74311,
Boy,Ayden,74292,
Boy,Ashton,74276,
Girl,Irma,73936,
Girl,Peyton,73876,
Boy,Wade,73802,
Boy,Terrance,73768,
Boy,Erick,73761,
Boy,Freddie,73468,
Girl,Beulah,73160,
Boy,Felix,72913,
Girl,Kennedy,72523,
Boy,Marion,72403,
Girl,Ariel,72151,
Boy,Brody,71765,
Boy,Virgil,71633,
Girl,Adrienne,71601,
Boy,Roman,71300,
Boy,Morris,71200,
Girl,Robyn,70923,
Boy,Clifton,70908,
Boy,Kent,70866,
Boy,Jonathon,70792,
Boy,Jaime,70642,
Boy,Kirk,70529,
Girl,Sandy,70503,
Girl,Jeannette,70502,
Girl,Alberta,70444,
Girl,Elise,70400,
Girl,Verna,70295,
Boy,Giovanni,70258,
Girl,Camila,70246,
Boy,Simon,70070,
Girl,Carly,69846,
Girl,Faye,69701,
Girl,Sonia,69695,
Girl,Camille,69624,
Girl,Opal,69608,
Girl,Nichole,69588,
Girl,Ramona,69552,
Girl,Cheyenne,69281,
Girl,Scarlett,69020,
Girl,Flora,68947,
Girl,Sonya,68554,
Boy,Jace,68475,
Girl,Della,68383,
Boy,Leonardo,68374,
Girl,Penelope,68327,
Boy,Lorenzo,68083,
Girl,Genesis,68082,
Boy,Jonah,67985,
Boy,Daryl,67915,
Girl,Lila,67818,
Boy,Kristopher,67811,
Girl,Natalia,67775,
Boy,Malcolm,67735,
Girl,Gianna,67681,
Girl,Inez,67677,
Girl,Skylar,67648,
Girl,Valeria,67308,
Girl,Marianne,66993,
Boy,Damon,66920,
Boy,Lincoln,66621,
Boy,Luther,66503,
Girl,Ellie,66383,
Girl,Guadalupe,66378,
Boy,Fredrick,66361,
Girl,Jada,65881,
Girl,Yvette,65358,
Boy,Dillon,64866,
Boy,Dallas,64827,
Boy,Alexis,64626,
Girl,Marcella,64577,
Boy,Geoffrey,64470,
Boy,Dave,64367,
Boy,Hudson,64252,
Boy,Dominick,64213,
Boy,Bryson,64189,
Girl,Angie,64074,
Girl,Lynne,64049,
Girl,Lee,63754,
Girl,Kari,63600,
Girl,Bella,63291,
Boy,Cristian,63284,
Girl,Maryann,62932,
Girl,Gayle,62923,
Girl,Tabitha,62870,
Girl,Sheri,62790,
Girl,Patty,62585,
Girl,Olga,62519,
Boy,Rickey,62420,
Boy,Israel,62354,
Girl,Alisha,62348,
Boy,Alberto,62347,
Boy,Santiago,62309,
Boy,Tracy,62237,
Boy,Julio,62174,
Boy,Kaden,62169,
Girl,Abby,62152,
Girl,Alana,61818,
Girl,Daniela,61745,
Girl,Kaitlin,61584,
Girl,Myra,61579,
Girl,Roxanne,61543,
Boy,Caden,61528,
Boy,Damien,61237,
Girl,Annabelle,61201,
Girl,Karina,61022,
Boy,Donnie,60972,
Girl,Kendall,60881,
Boy,Homer,60855,
Boy,Lyle,60417,
Girl,Mallory,60376,
Girl,Callie,60328,
Girl,Juliana,59833,
Girl,Josie,59459,
Girl,Celeste,59368,
Girl,Mckenzie,59321,
Girl,Adeline,59222,
Girl,Cassidy,59164,
Boy,Gerard,59126,
Girl,Aurora,59015,
Boy,Rex,58863,
Boy,Enrique,58827,
Boy,Otis,58787,
Girl,Lilly,58757,
Boy,Gage,58741,
Girl,Jody,58677,
Boy,Earnest,58604,
Boy,Donovan,58554,
Girl,Janelle,58164,
Girl,Serenity,57971,
Boy,Trenton,57896,
Girl,Aimee,57838,
Girl,Kirsten,57789,
Boy,Asher,57779,
Boy,Hubert,57677,
Girl,Dianna,57633,
Boy,Avery,57296,
Girl,Cecelia,57128,
Girl,Dominique,57040,
Girl,Mya,57010,
Boy,Emmett,56957,
Girl,Olive,56904,
Boy,Wilbur,56835,
Girl,Lacey,56825,
Girl,Liliana,56645,
Boy,Mateo,56584,
Boy,Salvatore,56522,
Girl,Cara,56427,
Girl,Muriel,56387,
Boy,Alfredo,56196,
Boy,Neal,56042,
Girl,Mikayla,56015,
Girl,Eliza,55634,
Girl,Hayley,55614,
Girl,Nadine,55526,
Girl,Bernadette,55460,
Girl,Celia,55341,
Boy,Arturo,55334,
Girl,Cristina,55294,
Girl,Jan,55270,
Girl,Jordyn,55129,
Girl,Lana,54917,
Girl,Erma,54870,
Boy,Dana,54739,
Girl,Jaclyn,54724,
Girl,Vicky,54589,
Girl,Caitlyn,54564,
Boy,Alec,54433,
Girl,Gretchen,54301,
Boy,Leland,54296,
Girl,Johanna,54258,
Boy,Horace,54257,
Boy,Shannon,54171,
Girl,Jaime,54129,
Boy,Colby,54087,
Boy,Joey,54086,
Boy,Abel,54056,
Girl,Traci,54035,
Girl,Kellie,53975,
Girl,Estelle,53907,
Girl,Kerry,53889,
Boy,Ira,53878,
Boy,Conner,53826,
Girl,Payton,53772,
Boy,Wendell,53688,
Boy,Ezra,53686,
Boy,Trent,53648,
Girl,Eloise,53573,
Boy,Rudolph,53563,
Girl,Aria,53484,
Girl,Ivy,53447,
Boy,Graham,53297,
Girl,Allyson,53206,
Boy,Darius,53172,
Girl,Michaela,53161,
Boy,Gerardo,53082,
Girl,Lora,52991,
Girl,Mable,52924,
Boy,Kerry,52859,
Girl,Selena,52847,
Boy,Kelvin,52792,
Boy,Bennie,52650,
Boy,Garry,52613,
Boy,Lynn,52594,
Girl,Rylee,52560,
Boy,Willis,52319,
Boy,Kenny,52260,
Girl,Reagan,52242,
Girl,Tessa,52175,
Boy,Easton,51837,
Boy,Kayden,51780,
Boy,Edmund,51697,
Girl,Rosemarie,51656,
Boy,Archie,51568,
Boy,Bryant,51544,
Girl,Marisa,51514,
Girl,Latoya,51471,
Boy,Rene,51389,
Boy,Emanuel,51337,
Girl,Alejandra,51266,
Girl,Raquel,51213,
Boy,Tyson,51200,
Boy,Randolph,51168,
Girl,Henrietta,50920,
Girl,Corinne,50909,
Boy,Marcos,50685,
Girl,Doreen,50662,
Boy,Nick,50607,
Girl,Kiara,50475,
Boy,Josue,50398,
Boy,Roderick,50357,
Boy,Robin,50253,
Girl,Janis,50051,
Girl,Sallie,49952,
Girl,Shawna,49807,
Girl,May,49573,
Boy,Chance,49451,
Girl,Cassie,49432,
Boy,Forrest,49415,
Girl,Nettie,49360,
Boy,Braxton,49338,
Boy,Carlton,49299,
Boy,Rudy,49265,
Girl,Allie,49168,
Boy,Noel,49158,
Girl,Betsy,49153,
Boy,Malachi,49141,
Girl,Christie,49128,
Girl,Johnnie,49050,
Boy,Zane,49029,
Boy,Orlando,49022,
Boy,Peyton,49001,
Girl,Rochelle,48973,
Boy,Silas,48807,
Girl,Ashlee,48796,
Girl,Elisabeth,48729,
Boy,Elliott,48549,
Girl,Kylee,48378,
Boy,Salvador,48277,
Girl,Shelia,47993,
Boy,Ryder,47984,
Girl,Kelley,47965,
Boy,Weston,47941,
Girl,Leila,47720,
Boy,Grady,47694,
Girl,Mollie,47542,
Girl,Lynette,47512,
Boy,Benny,47483,
Girl,Laurel,47366,
Boy,Wilson,47316,
Girl,Meagan,47303,
Boy,Ty,47289,
Boy,Delbert,47135,
Girl,Eula,47106,
Boy,Alton,47081,
Girl,Piper,47060,
Girl,Anastasia,46990,
Girl,Jana,46983,
Boy,Loren,46959,
Boy,Jaxson,46869,
Boy,Braden,46700,
Girl,Ginger,46687,
Girl,Esmeralda,46657,
Girl,Paulette,46653,
